Nom,Genre,Épisodes,Date de Diffusion,Score,Rank,Téléspectateurs,Acteurs,Date Debut,Date Fin
Joy of Life Season 2 (2024),"Comedy, Romance, Wuxia, Fantasy",36.0,"May 16, 2024 - May 30, 2024",9.0,64.0,"12,002","Zhang Ruo Yun, Wu Gang, Li Qin, Chen Dao Ming, Tian Yu, Song Yi","May 16, 2024","May 30, 2024"
The Spirealm (2024),"Mystery, Horror, Comedy, Fantasy",78.0,"Feb 2, 2024",8.9,90.0,"12,781","Xia Zhi Guang, Huang Jun Jie, Liu Ruo Gu, Liu Xiao Bei, Lu Meng Lin, Yan Zi Xian","Feb 2, 2024",
The Double (2024),"Historical, Mystery",40.0,"Jun 2, 2024 - Jun 22, 2024",8.8,132.0,"28,934","Wu Jin Yan, Wang Xing Yue, Chen Xin Hai, Liang Yong Qi, Li Meng, Joe Chen","Jun 2, 2024","Jun 22, 2024"
Blossom (2024),"Historical, Mystery, Romance, Fantasy",34.0,"Dec 6, 2024 - Dec 22, 2024",8.8,147.0,"18,461","Meng Zi Yi, Li Yun Rui, Snow Kong, Xia Zhi Guang, Alina Zhang, Yan An","Dec 6, 2024","Dec 22, 2024"
Guardians of the Dafeng (2024),"Comedy, Romance, Wuxia, Fantasy",40.0,"Dec 28, 2024 - Jan 18, 2025",8.7,209.0,"14,169","Dylan Wang, Tian Xi Wei, Liu Yi Jun, Yan Zi Dong, Wang Run Ze, Yan Pei Lun","Dec 28, 2024","Jan 18, 2025"
To the Wonder (2024),"Romance, Life, Family",8.0,"May 7, 2024 - May 10, 2024",8.7,232.0,"4,157","Ma Yi Li, Zhou Yi Ran, Yu Shi, Jiang Qi Ming, Alimujiang, Alima Mayutian","May 7, 2024","May 10, 2024"
Blossoms in Adversity (2024),"Historical, Business, Romance",40.0,"Apr 2, 2024 - Apr 25, 2024",8.7,249.0,"17,562","Zhang Jing Yi, Hu Yi Tian, Caesar Wu, Lu Yu Xiao, Bian Cheng, Myolie Wu","Apr 2, 2024","Apr 25, 2024"
The Legend of Shen Li (2024),"Romance, Wuxia, Drama, Fantasy",39.0,"Mar 18, 2024 - Apr 5, 2024",8.7,253.0,"19,585","Zhao Li Ying, Lin Geng Xin, Xin Yun Lai, He Yu, Zeng Li, Wei Zi Xin","Mar 18, 2024","Apr 5, 2024"
Angels Fall Sometimes (2024),"Romance, Life, Melodrama",24.0,"Mar 9, 2024 - Mar 19, 2024",8.7,281.0,"8,998","Lin Yi, Landy Li, Sun Tian Yu, Li Xin Ran, Lin Lu, Wang You Jun","Mar 9, 2024","Mar 19, 2024"
Fangs of Fortune (2024),"Mystery, Romance, Wuxia, Fantasy",34.0,"Oct 26, 2024 - Nov 16, 2024",8.6,345.0,"18,338","Neo Hou, Chen Du Ling, Tian Jia Rui, Cheng Xiao, Lester Lin, Xu Zhen Xuan","Oct 26, 2024","Nov 16, 2024"
Amidst a Snowstorm of Love (2024),"Romance, Sports",30.0,"Feb 2, 2024 - Feb 14, 2024",8.5,493.0,"32,275","Leo Wu, Zhao Jin Mai, Wang Xing Yue, Ding Xiao Ying, Chen Jing Ke, Dong Zi Fan","Feb 2, 2024","Feb 14, 2024"
Love Game in Eastern Fantasy (2024),"Romance, Wuxia, Fantasy",32.0,"Nov 1, 2024 - Nov 17, 2024",8.5,512.0,"23,876","Esther Yu, Ding Yu Xi, Zhu Xu Dan, Yang Shi Ze, Gillian Chung, Xu Hai Qiao","Nov 1, 2024","Nov 17, 2024"
Are You the One (2024),"Historical, Romance, Drama",40.0,"Aug 12, 2024 - Sep 1, 2024",8.5,567.0,"13,875","Zhang Wan Yi, Wang Chu Ran, Chang Hua Sen, Liu Ling Zi, Zhang Chi, Yuan Yu Xuan","Aug 12, 2024","Sep 1, 2024"
Strange Tales of Tang Dynasty II To the West (2024),"Thriller, Mystery, Horror, Wuxia",40.0,"Jul 18, 2024 - Aug 2, 2024",8.5,634.0,"2,074","Yang Xu Wen, Yang Zhi Gang, Gao Si Wen, Chen Chuang, Sun Xue Ning, Liu Zhi Yang","Jul 18, 2024","Aug 2, 2024"
War of Faith (2024),"Action, Historical, Drama, Political",38.0,"Mar 21, 2024 - Apr 7, 2024",8.4,733.0,"4,316","Wang Yi Bo, Li Qin, Wang Yang, Zhang Tian Yang, Wang Xue Qi, Song Shuai","Mar 21, 2024","Apr 7, 2024"
Will Love in Spring (2024),"Romance, Life, Drama, Family",21.0,"Apr 22, 2024 - Apr 30, 2024",8.4,767.0,"16,540","Li Xian, Zhou Yu Tong, Wu Jun Ting, Zhang Xi Wei, Liu Lin, Fang Fang","Apr 22, 2024","Apr 30, 2024"
Dashing Youth (2024),"Wuxia, Youth, Fantasy",40.0,"Jul 19, 2024 - Aug 14, 2024",8.4,810.0,"10,438","Neo Hou, He Yu, Hu Lian Xin, Xia Zhi Guang, Jiang Zhen Yu, Zhang Chen Xiao","Jul 19, 2024","Aug 14, 2024"
The Rise of Ning (2024),"Historical, Romance, Drama",40.0,"Oct 10, 2024 - Oct 29, 2024",8.4,808.0,"9,158","Zhang Wan Yi, Ren Min, Ci Sha, Nine Kornchid Boonsathitpakdee, Wu Yu Heng, Hu Jia Xin","Oct 10, 2024","Oct 29, 2024"
Under the Skin Season 2 (2024),"Thriller, Mystery, Drama",28.0,"Dec 10, 2024 - Dec 25, 2024",8.4,847.0,"4,758","Tan Jian Ci, Jin Shi Jia, Baby Zhang, Zhu Jia Qi, Lu Yan Qi, Qin Hai Lu","Dec 10, 2024","Dec 25, 2024"
Live Surgery Room (2024),"Mystery, Drama, Medical",28.0,"Apr 6, 2024 - Apr 19, 2024",8.3,1045.0,"2,968","Vin Zhang, Dai Xu, Liu Min Tao, Zhao Zhi Wei, Yang Yu Tong, Liu Guan Cheng","Apr 6, 2024","Apr 19, 2024"
Palms on Love (2024),"Historical, Romance",24.0,"Feb 23, 2024 - Mar 4, 2024",7.3,8061.0,"1,964","Li Ruo Tian, Wang Yun Han, Qi Hang, Zhu Xin Yuan, Zhao Hai Yu Ning, Li Yi Chen","Feb 23, 2024","Mar 4, 2024"
When We Meet Again (2024),"Historical, Romance, Fantasy",24.0,"Feb 25, 2024 - Mar 2, 2024",7.3,7927.0,637,"Wu Ji Feng, Yang Teng, Chen Wai, Liu Shan, Wei Yuan","Feb 25, 2024","Mar 2, 2024"
Five Kings of Thieves (2024),"Wuxia, Fantasy",12.0,"Mar 23, 2024",7.3,8122.0,"1,489","Darren Wang, Ren Min, Zhao Hua Wei, Wang Xiu Zhu, Tan Xiao Fan, Wang Ruo Lin","Mar 23, 2024",
Perfect Her (2024),"Romance, Drama, Supernatural",20.0,"May 14, 2024",7.3,8029.0,"1,610","Luo Zheng, Xu Yi Yang, Du Yu Chen, Yang Bing Zhuo, Song Yi Xing, Megan Hwang","May 14, 2024",
Lost and Found (2024),"Romance, Drama, Family",23.0,"Oct 25, 2024 - Nov 9, 2024",7.3,8086.0,"2,030","Wen Mo Yan, Shen Hao Nan, Zhao Dong Hao, Li Xue Jiao, Sun Rui Yang, Yang Zai","Oct 25, 2024","Nov 9, 2024"
Roses & Guns (2024),"Historical, Romance, Drama",18.0,"Feb 12, 2024 - Feb 24, 2024",7.2,8273.0,"2,187","Flora Dai, Dai Gao Zheng, Xiang Xing Yu, Peng Yi Han, Lin Ya Dong, Tan Kuo Kuo","Feb 12, 2024","Feb 24, 2024"
We All Lie (2024),"Thriller, Romance, Drama",16.0,"Aug 29, 2024 - Sep 6, 2024",7.2,8322.0,"1,726","He Hong Shan, Li Zi Feng, Chen Mu Yang, Zheng Nan Xi, Tan Yan Yan, Wang Yi Zhou","Aug 29, 2024","Sep 6, 2024"
Deep Love Love Again (2024),"Mystery, Romance, Drama",22.0,"Apr 30, 2024 - May 14, 2024",7.2,8444.0,"2,119","Garvey Jin, Tiffany Gao, Jason Xu, Min Xing Han, Wang Xiao Shi","Apr 30, 2024","May 14, 2024"
Taking Love as a Contract (2024),"Romance, Drama",24.0,"Jan 9, 2024 - Jan 24, 2024",7.2,8390.0,"2,327","Lu Yan Qi, Yan Zi Xian, Ni Han Jin, Fan Jing Yi, Qu Gang, Huang Ying","Jan 9, 2024","Jan 24, 2024"
First Marriage (2024),"Historical, Mystery, Romance",24.0,"Jul 25, 2024 - Jul 31, 2024",7.2,8441.0,"1,119","Wu Ri Li Ge, Yu Yang, Shu Ya Xin, Wang Yi Bo, Kui Yuan, He Wen Xiao","Jul 25, 2024","Jul 31, 2024"
Land of Dreams (2024),"Historical, Romance",24.0,"Mar 4, 2024 - Mar 14, 2024",7.2,8359.0,701,"Gao Yi Ren, Fang Si Chang, Erfan Aziz, Chang Jin, Chen Guo Liang, Wen Dong Hai","Mar 4, 2024","Mar 14, 2024"
Mistaken Love (2024),"Historical, Romance, Drama",24.0,"Oct 24, 2024 - Oct 30, 2024",7.2,8227.0,"1,103","Ji Shu Yi, Li Dai Kun, Min Xing Han, Sun Yan En, Duan Yi Xuan, Shi Ze Kun","Oct 24, 2024","Oct 30, 2024"
Her Fantastic Adventures (2024),"Historical, Romance, Drama, Fantasy",36.0,"Jul 6, 2024 - Jul 21, 2024",7.2,8622.0,"2,454","Ireine Song, Guo Jun Chen, Li Jiu Lin, Jiang Zi Xin, Qiao Jun Da, Wen Yi Fan","Jul 6, 2024","Jul 21, 2024"
Your Trap (2024),"Mystery, Romance, Drama",24.0,"May 27, 2024 - Jun 13, 2024",7.2,8574.0,"1,911","Wen Mo Yan, Shen Hao Nan, Yu Xin Tian, He Long Long, Silvio Sun, Lu Jin Yuan","May 27, 2024","Jun 13, 2024"
Treasures Around (2024),"Historical, Romance",24.0,"Jun 28, 2024 - Jul 16, 2024",7.2,8519.0,"1,678","Xu Lu, Bi Wen Jun, Dai Chao, Rachel Li, Ma Rui, Geng Yi Zheng","Jun 28, 2024","Jul 16, 2024"
Indulgence (2024),"Mystery, Romance",27.0,"Jan 24, 2024 - Feb 4, 2024",7.2,8677.0,"1,427","Wang Jun Hao, Feng Xi Yao, Zhang Guan Sen, Li Ting Zhe, Zhao Ai Cheng, Jiang Lin Yan","Jan 24, 2024","Feb 4, 2024"
Shan Hun Hou Wo Cheng Le Da Lao De Zhang Zhong Zhi Wu (2024),"Romance, Drama",64.0,"Nov 2, 2024",7.3,8025.0,756,,"Nov 2, 2024",
Chasing the Wind (2024),"Romance, Youth, Sports",20.0,"Dec 23, 2024 - Dec 29, 2024",7.2,8908.0,"1,766","Jiang Zhen Yu, Gu Zi Cheng, Esther Chen, Shi Ming Ze, Xia Ning Jun, Zeng You Zhen","Dec 23, 2024","Dec 29, 2024"
Broken the Heart (2024),"Historical, Romance",22.0,"Jan 31, 2024 - Feb 15, 2024",7.1,9098.0,"2,522","Daisy Li, Deng Kai, Jin Wang, Bai Xu Han, Cui Yi Liang, Shang Na","Jan 31, 2024","Feb 15, 2024"
Fall in Love Again (2024),"Romance, Drama",21.0,"Mar 15, 2024 - Mar 22, 2024",7.1,9063.0,"2,624","Flora Dai, Aaron Deng, Luo Mi, Wei Yan Kan, Hu Yi Yao, Zoe Zhou","Mar 15, 2024","Mar 22, 2024"
Her Disguise (2024),"Historical, Romance",24.0,"Jul 13, 2024 - Jul 29, 2024",7.1,9115.0,687,"Leo Yang, Feng Wan He, Jin Hao Peng, Hank Qi, Zhang Xiao Qi, Jin Qiu","Jul 13, 2024","Jul 29, 2024"
The Missing Snowflakes (2024),"Historical, Romance",18.0,"Apr 29, 2024 - May 5, 2024",7.1,9226.0,833,"Zhao Jia Min, Li Jun Chen, Zhao Jiu Yi, Xu Jia Man, Cheng Yi, Wu Yi Jia","Apr 29, 2024","May 5, 2024"
Part for Ever (2024),"Historical, Romance",28.0,"Mar 21, 2024 - Apr 2, 2024",7.1,9039.0,"2,471","Cai Zheng Jie, Jiang Yuan Ya Rong, Yuan Zi Ming, Cheung Hoi Yuet, Austin Sui, Huang Chu Yao","Mar 21, 2024","Apr 2, 2024"
My Beloved Wife (2024),"Historical, Comedy, Romance",20.0,"Jan 4, 2024",7.1,9290.0,949,"Wang Jia Yin, Han Hao Tian, Chen Zheng Yang, Wang Kai Yi, Wang Qian Hui, Liu Guang Nan","Jan 4, 2024",
Phoenix Lands in the World (2024),"Romance, Wuxia, Fantasy",24.0,"Jun 11, 2024",7.1,9268.0,907,"Ke Ying, Aaron Deng, Cao Xing Yu, Li Jia Le, Gan Shu Jie","Jun 11, 2024",
"Marry Me, My Evil Lord (2024)","Historical, Mystery, Romance",20.0,"Feb 28, 2024",7.1,9256.0,784,"Ma Hao Dong, Wang Xin Ting, Bo Cheng Jun, Rambo Su, Bi Shao Yan, Liu Run Ming","Feb 28, 2024",
Fox Spirit Matchmaker: Red-Moon Pact (2024),"Romance, Wuxia, Drama, Fantasy",36.0,"May 23, 2024 - Jun 11, 2024",7.1,9303.0,"11,688","Yang Mi, Gong Jun, Cristy Guo, Miles Wei, Hu Lian Xin, Wen Zheng Rong","May 23, 2024","Jun 11, 2024"
Crush (2024),"Historical, Romance",24.0,"Jun 27, 2024 - Jul 12, 2024",7.1,9322.0,"1,038","Zhao Ying Bo, Ling Mei Shi, Tiffany Gao, Yao Qing Ren, Li Jing Yao, Dou Yi Kun","Jun 27, 2024","Jul 12, 2024"
Attacking Lady (2024),"Romance, Drama",21.0,"Jan 12, 2024 - Jan 22, 2024",7.1,9452.0,"1,288","Sun Zi Jun, Yang Chuan Bei, Jiang Xin Qi, Pei Zheng Zheng, Xing Luo Dan, Guo Hao Ran","Jan 12, 2024","Jan 22, 2024"
General Order (2024),"Historical, Mystery, Romance, Fantasy",24.0,"Oct 29, 2024 - Nov 4, 2024",7.1,9383.0,884,"Cheng Yu Feng, Qiao Jing Wen, Li Zhen Xiao, Lu Ming, Liu Xin Nian","Oct 29, 2024","Nov 4, 2024"
Their Wonderful Time (2024),"Romance, Fantasy",26.0,"Sep 3, 2024 - Sep 21, 2024",7.1,9410.0,"2,628","Zhou Jie Qiong, Ge Qiu Gu, Zhang Si Fan, Miffy Shi, Bai Zhi Jie, Yu Zi Yang","Sep 3, 2024","Sep 21, 2024"
Dual Love (2024),"Romance, Wuxia, Drama",23.0,"Sep 27, 2024 - Sep 30, 2024",7.1,9413.0,"1,098","Dai Gao Zheng, Si Yue, Wang Xu Dong, Cao Tian Kai, Cheng Mu Xuan, Zhang Yu Cheng","Sep 27, 2024","Sep 30, 2024"
Moment of Silence (2024),Thriller,20.0,"May 7, 2024 - May 20, 2024",7.0,9573.0,"1,070","Bai Xu Han, Liu Yan Qiao, Zhao Xi Xi, Huang Hao Wen, Canti Lau","May 7, 2024","May 20, 2024"
Save It for the Honeymoon (2024),Romance,23.0,"May 21, 2024 - Jun 4, 2024",7.0,9726.0,939,"Guan Yue, Lin Xiao Zhai, Leng Xin Qing, Feng Xiang, Qin Yue, Chen Yang","May 21, 2024","Jun 4, 2024"
Rainforest Passions (2024),"Action, Mystery, Romance",30.0,"Dec 29, 2024 - Jan 10, 2025",7.1,9374.0,"1,765","Dai Gao Zheng, Zheng Miao, Yuan Da Sen, Yu Xi, Zuo Jin Zhu, Wang Guo Hua","Dec 29, 2024","Jan 10, 2025"
Love in a Dream (2024),"Historical, Romance, Drama",24.0,"Jul 9, 2024 - Jul 25, 2024",7.0,9858.0,"1,001","Huangyang Tian Tian, Zhang Jing Yun, Chu Xiao Long, Wang Xiao Shi, Li Bai Hui, Qiu Hong Kai","Jul 9, 2024","Jul 25, 2024"
Agarwood Like a Dream (2024),"Thriller, Historical, Romance",20.0,"Nov 5, 2024 - Nov 12, 2024",7.0,9911.0,720,"Li Jiu Lin, Zhang Ya Zhuo, Ran Xu, Ma Jun Ke, Du Xia Jian, Shang Guan Tong","Nov 5, 2024","Nov 12, 2024"
Flame Bride (2024),"Historical, Romance",28.0,"Jun 17, 2024 - Jul 3, 2024",6.9,10035.0,647,"Lin Yan Rou, Cavan Wen, Hank Qi, Xu Ruo Tong, Feng Huan Huan, Liu Wei Zhou","Jun 17, 2024","Jul 3, 2024"
Beloved of a Lifetime (2024),"Romance, Wuxia, Drama, Fantasy",26.0,"Oct 4, 2024 - Oct 21, 2024",6.9,10164.0,"1,001","Zhong Li Li, Guan Yue, Xie An Ran, Wu Hai, Yin Rui, Jiao Xue Rui","Oct 4, 2024","Oct 21, 2024"
Life Is Drama (2024),"Romance, Drama",24.0,"Feb 5, 2024 - Feb 15, 2024",6.9,10202.0,867,"Wang Xuan, Pu Yu Tong, Zhou Qian","Feb 5, 2024","Feb 15, 2024"
Orange Soda (2024),"Romance, Youth, Drama",20.0,"May 13, 2024 - May 24, 2024",6.9,10247.0,"1,255","Eleanor Lee, He Chang Xi, Hollis, Jin Mei Chen, Zhu La La, Kong Bi Yu","May 13, 2024","May 24, 2024"
Romantic Boyfriend (2024),Romance,24.0,"Aug 22, 2024",6.8,10378.0,"1,011","Duan Xiao Wei, Cai Zheng Jie, Jennifer Zhou, Chen Mu, Liu Wan Ting, Liu Man","Aug 22, 2024",
The Silent Wife (2024),"Romance, Drama",24.0,"Dec 5, 2024 - Dec 20, 2024",6.7,10575.0,"1,611","Teng Ze Wen, Tian Xu Ning, Liu Xin Nian, Tong Liang, Wang Zhi Yong, Cai Hai Ting","Dec 5, 2024","Dec 20, 2024"
A Beautiful Lie (2024),"Romance, Life, Drama",36.0,"Oct 19, 2024 - Nov 3, 2024",6.4,11027.0,"6,499","Chen Xing Xu, Zhang Yu Xi, Wang Sen, Chen Hao Lan, Lin Xin Yi, Yang Bing Zhuo","Oct 19, 2024","Nov 3, 2024"
Inverse Identity (2024),Romance,9.0,"May 3, 2024 - May 19, 2024",6.0,11234.0,"2,081",,"May 3, 2024","May 19, 2024"
Moments of Youth (2024),"Comedy, Romance, Youth, Drama",24.0,"Jan 26, 2024",7.3,61126.0,403,"Wu Yu Heng, Zhou Yan Chen, Yang Xi Zi, Lam King Kong, Lin Xin Meng, Sun Kai","Jan 26, 2024",
Shen Qing You Yin (2024),Romance,99.0,"Oct 1, 2024",7.4,59556.0,152,,"Oct 1, 2024",
In the Grip of Love (2024),Romance,30.0,"Dec 12, 2024 - Dec 24, 2024",7.3,60959.0,541,"Ai Xiao Qi, Cheng Yu Feng, Ni Han Jin, Feng Wan He, Xu Yi Wen, Peng Yi Han","Dec 12, 2024","Dec 24, 2024"
The Cycle of Xia Yang (2024),"Mystery, Romance, Drama, Fantasy",85.0,"Sep 26, 2024",7.0,65983.0,111,"Xu Meng Yuan, He Jian Qi","Sep 26, 2024",
An Actor's Rhapsody Season 2 (2024),"Historical, Comedy, Romance",24.0,"Jul 15, 2024 - Jul 30, 2024",7.0,67463.0,86,"Chen Teng Yue, Cao Xi Yue, Wang Jia Li, Suo Lang Mei Qi, Joy, Jin Lu Ying","Jul 15, 2024","Jul 30, 2024"
Nan Zong Zhe Ci Wan Da Le (2024),"Comedy, Romance",97.0,"May 14, 2024",7.0,66913.0,42,,"May 14, 2024",
Proud and Partial (2024),Romance,99.0,"Feb 12, 2024",6.2,76206.0,55,,"Feb 12, 2024",
"Fu Shao, Nin Fu Ren Ma Jia Cang Bu Zhu Le (2024)",Romance,79.0,"Feb 21, 2024",6.4,75363.0,14,,"Feb 21, 2024",
Tian Tang Mei You Yi Wang (2024),,60.0,"Sep 25, 2024",5.9,77787.0,7,,"Sep 25, 2024",
Survival Code (2024),"Adventure, Romance, Drama",34.0,"Sep 9, 2024 - Sep 24, 2024",,45127.0,288,,"Sep 9, 2024","Sep 24, 2024"
Love in B&B,"Comedy, Romance, Drama",12.0,,,45688.0,"1,052",,nan,
She and Her Girls (2024),"Youth, Drama",23.0,"Sep 10, 2024 - Sep 26, 2024",8.4,47414.0,955,"Song Jia, Lan Xi Ya, Du Lan, Nie Yuan, Zhang Yue, Zhai Zi Lu","Sep 10, 2024","Sep 26, 2024"
Defenders of the Hidden (2024),Documentary,2.0,"Jul 29, 2024 - Aug 5, 2024",8.4,47634.0,128,Wang Yi Bo,"Jul 29, 2024","Aug 5, 2024"
Growing Together (2024),"Comedy, Family",40.0,"Feb 1, 2024 - Feb 22, 2024",8.2,48441.0,208,"Zhang Jia Yi, Chen Hao, Wang Yu Xuan, Wei Ruo Jin, Wang Xiao Chen, Ling Zi","Feb 1, 2024","Feb 22, 2024"
Wings of the Nation (2024),Military,35.0,"Jun 11, 2024 - Jul 5, 2024",8.2,48666.0,237,"Zhu Ya Wen, Hou Yong, Li You Bin, Du Chun, Tong Lei, Zhang Yao","Jun 11, 2024","Jul 5, 2024"
Jia You Ba Shao Nian (2024),"Comedy, Youth",24.0,"Aug 12, 2024 - Aug 28, 2024",8.1,49175.0,617,"Roy Xie, Zhang Chen Xiao, Elmira Yi, Su Zi Yi, Liu Tang Hui, Hu Bo Wen","Aug 12, 2024","Aug 28, 2024"
Romance in the Alley (2024),"Romance, Life, Family, Melodrama",40.0,"Oct 28, 2024 - Nov 17, 2024",7.9,3150.0,"1,374","Yan Ni, Li Guang Jie, Guo Xiao Dong, Jiang Xin, Fan Cheng Cheng, Guan Xiao Tong","Oct 28, 2024","Nov 17, 2024"
The Song Dynasty (2024),"Historical, Romance",27.0,"Feb 1, 2024 - Feb 9, 2024",8.1,49324.0,107,,"Feb 1, 2024","Feb 9, 2024"
The Favourite: Part 1 (2024),,36.0,"Nov 22, 2024",7.6,54194.0,45,"Wang Bo, Zhao Fei, Zhang Shan Shan","Nov 22, 2024",
Sunrise on the River (2024),"Thriller, Mystery, Drama",24.0,"Feb 29, 2024 - Mar 10, 2024",8.1,49043.0,323,"Huang Zhi Zhong, Mei Ting, Jiang Wu, Zhang Guo Qiang, Su Ke, Li Qiang","Feb 29, 2024","Mar 10, 2024"
The Great Nobody (2024),"Historical, Comedy",14.0,"Feb 24, 2024 - Feb 29, 2024",8.0,49665.0,131,"Tu Dou, Lu Yan, Zhang Da Bao, Ma Xu Dong, Zhang Xiao Wan, Tang Xiao Tian","Feb 24, 2024","Feb 29, 2024"
Fu Hua Meng (2024),"Historical, Fantasy",32.0,"Aug 16, 2024 - Oct 10, 2024",7.9,50691.0,117,,"Aug 16, 2024","Oct 10, 2024"
Teresa Teng (2024),"Music, Historical, Life",48.0,"Jun 6, 2024 - Jul 3, 2024",7.9,51167.0,385,"Michelle Chen, Peter Ho, Jiang Shan, Peng Guan Ying, Hou Yong, Coco Lyu","Jun 6, 2024","Jul 3, 2024"
Escape from the Trilateral Slopes (2024),"Adventure, Thriller, Mystery",21.0,"Aug 16, 2024 - Aug 29, 2024",7.9,50499.0,544,"Guo Qi Lin, Francis Ng, Jiang Qi Lin, Wei Wei, Qian Jie, Zhao Run Nan","Aug 16, 2024","Aug 29, 2024"
The City of Sunlight (2024),Drama,21.0,"Oct 2, 2024 - Oct 11, 2024",7.8,51491.0,193,"Zhou You, Yangshik Tso, Zhang Tong, Wang Zhuo Cuo, Duo Bu Jie, Yan Xiao Pin","Oct 2, 2024","Oct 11, 2024"
Born to Be the One (2024),"Drama, Family",37.0,"Aug 31, 2024 - Sep 15, 2024",7.9,51216.0,351,"Yin Tao, Lawrence Wang, Zhang Ruo Nan, Zhang Zhe Hua, Amy Chen, Qin Jun Jie","Aug 31, 2024","Sep 15, 2024"
Rich Families Chasing My Pet (2024),"Comedy, Romance, Fantasy",50.0,"Oct 23, 2024",7.9,51152.0,79,,"Oct 23, 2024",
Lost Identity (2024),"Historical, Mystery, Crime, War",40.0,"Jun 29, 2024 - Jul 27, 2024",7.9,51198.0,862,"Johnny Huang, Xin Zhi Lei, Kido Ma, Ma Yue, Luo Qiu Yun, Dong Xuan","Jun 29, 2024","Jul 27, 2024"
Hi Mom (2024),"Romance, Drama, Fantasy",82.0,"Feb 12, 2024",7.9,51266.0,262,,"Feb 12, 2024",
Battle of Shangganling (2024),"Action, Military, Historical, War",24.0,"Oct 14, 2024 - Oct 29, 2024",7.9,51356.0,164,"Huang Xuan, Wang Lei, Yuan Wen Kang, Pan Bin Long, Liu Hao Cun, Zhao Run Nan","Oct 14, 2024","Oct 29, 2024"
We Are Criminal Police (2024),Action,38.0,"Nov 27, 2024 - Dec 13, 2024",7.8,51577.0,216,"Yu He Wei, Fu Da Long, Bai Fan, Ding Yong Dai, Ma Su, Huang Man","Nov 27, 2024","Dec 13, 2024"
Soul Sisters (2024),"Comedy, Wuxia",24.0,"Dec 27, 2024 - Dec 29, 2024",7.8,52004.0,371,"Vicky Liang, Yang Fu Yu, Ye Yi, Chen Sheng Heng, Chang Jin, Benjamin Zhang","Dec 27, 2024","Dec 29, 2024"
The Wind of Journey (2024),"Food, Romance, Life",18.0,"Feb 16, 2024 - Mar 5, 2024",7.8,51988.0,138,,"Feb 16, 2024","Mar 5, 2024"
Like a Flowing River Season 3 (2024),"Historical, Business, Life",33.0,"Jan 8, 2024 - Jan 31, 2024",7.6,54176.0,276,"Wang Kai, Yang Shuo, Dong Zi Jian, Yang Cai Yu, Bu Yu Xin, Liu Dan","Jan 8, 2024","Jan 31, 2024"
My Best Friend Sees Me Spoiled (2024),Romance,52.0,"Dec 7, 2024",7.4,59536.0,55,,"Dec 7, 2024",
Bank on Me (2024),Drama,26.0,"Aug 18, 2024 - Aug 27, 2024",7.6,54394.0,206.0,"Bai Yu, Wang Zhi Fei, Dong Yong, Li Nai Wen, Wang You Jun, Ren Bin","Aug 18, 2024","Aug 27, 2024"
Detective Chinatown Season 2 (2024),"Action, Thriller, Mystery, Comedy",16.0,"Feb 29, 2024 - Mar 9, 2024",7.8,52463.0,592.0,"Roy Chiu, Shang Yu Xian, Yvonne Yung, Yu Hao Ming, Baby Zhang, Jiang Yun Lin","Feb 29, 2024","Mar 9, 2024"
Ming Ri You Qing Tian (2024),"Life, Youth, Drama",16.0,"Sep 26, 2024 - Oct 11, 2024",7.7,52681.0,265.0,,"Sep 26, 2024","Oct 11, 2024"
An Lian De Xiao Qing Mei Ta Ren Mei Ge Tian (2024),Romance,86.0,"Nov 24, 2024",7.7,53274.0,173.0,,"Nov 24, 2024",
San Wan Ying Chi De An Lian (2024),Romance,91.0,"Oct 20, 2024",7.7,53010.0,262.0,,"Oct 20, 2024",
Deep as the Sea Love Becomes Empty (2024),Drama,30.0,"Dec 18, 2024",7.5,56817.0,75.0,,"Dec 18, 2024",
Days of Tranquility (2024),"Romance, Life",12.0,"Nov 15, 2024 - Nov 21, 2024",7.6,55626.0,37.0,"Yu Lang, Jiang Qi Lin, Guo Jing Lin, Chi Jia, Xu Ke Long, Li Jia Wei","Nov 15, 2024","Nov 21, 2024"
For the Young Ones (2024),"Thriller, Crime, Drama, Family",18.0,"Aug 14, 2024 - Aug 22, 2024",7.6,54175.0,516.0,"Zhang Yi, Qin Lan, Wang Zhen Er, Zou Yuan Qing, Jia Xiao Han, Jiang Jun","Aug 14, 2024","Aug 22, 2024"
You Coexist with Tenderness (2024),"Romance, Drama",89.0,"Sep 18, 2024",7.4,58641.0,126.0,,"Sep 18, 2024",
Heiress Reborn (2024),"Romance, Fantasy",24.0,"Sep 24, 2024 - Oct 3, 2024",7.7,53051.0,532.0,"Chen Fang Tong, Hei Ze, Wang Cheng, Li Zi Yi, Jiang Yu Shun, Zhang Yi Ke","Sep 24, 2024","Oct 3, 2024"
Define Your Style (2024),Romance,101.0,"Dec 11, 2024",7.6,54197.0,118.0,,"Dec 11, 2024",
Go Where You Are (2024),Romance,74.0,"Feb 14, 2024",7.5,55957.0,321.0,,"Feb 14, 2024",
The Queen of Winter (2024),"Romance, Drama",70.0,"Mar 16, 2024",7.6,55389.0,335.0,,"Mar 16, 2024",
The Storm of Roses (2024),Business,40.0,"Dec 29, 2024 - Jan 21, 2025",7.6,54337.0,273.0,"Tan Zhuo, Liu Yi Jun, Gao Ye, Lin Yu Shen, Wei Ran, Yan Shi Kui","Dec 29, 2024","Jan 21, 2025"
